id,x_pixel,y_pixel,z
0,177,251,2.1487097967565205e-07
1,220,215,-0.004034480545669794
2,266,213,-0.032262109220027924
3,299,235,-0.051135968416929245
4,316,263,-0.06689079850912094
5,265,212,-0.13590630888938904
6,315,221,-0.15148486196994781
7,310,230,-0.14170856773853302
8,302,244,-0.13592413067817688
9,258,245,-0.13703970611095428
10,329,234,-0.16618074476718903
11,363,229,-0.1620316207408905
12,382,226,-0.1643177717924118
13,253,274,-0.12401147186756134
14,319,271,-0.11926939338445663
15,309,263,-0.07660151273012161
16,289,257,-0.05584421753883362
17,249,299,-0.11078035086393356
18,299,289,-0.09675294905900955
19,292,279,-0.06335736066102982
20,277,277,-0.04363473877310753
