id,x_pixel,y_pixel,z
0,485,201,5.188509177855849e-08
1,458,162,0.011269859038293362
2,411,155,0.010159304365515709
3,374,177,0.007422447204589844
4,357,202,0.0013537639752030373
5,389,150,-0.02973400056362152
6,337,176,-0.03919262811541557
7,318,198,-0.04282652959227562
8,309,214,-0.04741111397743225
9,392,179,-0.043664030730724335
10,334,192,-0.05407573655247688
11,297,196,-0.06195458769798279
12,270,199,-0.07194112241268158
13,400,211,-0.052728813141584396
14,348,227,-0.058770790696144104
15,349,230,-0.05551578849554062
16,354,224,-0.055368572473526
17,412,240,-0.06022258847951889
18,377,252,-0.06846501678228378
19,370,252,-0.06709525734186172
20,367,248,-0.06676492840051651
