id,x_pixel,y_pixel,z
0,203,224,1.2416320771535538e-07
1,250,189,-0.032480914145708084
2,293,194,-0.055902764201164246
3,323,215,-0.05519166216254234
4,344,236,-0.05013329163193703
5,298,221,-0.17448745667934418
6,361,225,-0.19996300339698792
7,402,225,-0.20862944424152374
8,432,226,-0.21655307710170746
9,293,245,-0.142045259475708
10,361,248,-0.17332413792610168
11,404,242,-0.17890118062496185
12,436,237,-0.1891852766275406
13,294,264,-0.09433819353580475
14,344,254,-0.0737697184085846
15,352,236,-0.03465908765792847
16,355,226,-0.020905356854200363
17,296,275,-0.049538590013980865
18,328,259,-0.015211004763841629
19,328,243,0.017773166298866272
20,326,232,0.0331527516245842
