id,x_pixel,y_pixel,z
0,172,264,2.293509169248864e-07
1,210,228,-0.010998264886438847
2,259,223,-0.031572695821523666
3,294,245,-0.04464029520750046
4,312,269,-0.05739074572920799
5,259,235,-0.10415224730968475
6,325,243,-0.12428224086761475
7,346,250,-0.12909072637557983
8,358,260,-0.13363508880138397
9,251,267,-0.10331651568412781
10,329,259,-0.12693966925144196
11,366,251,-0.12876978516578674
12,388,248,-0.13359814882278442
13,244,294,-0.09357038140296936
14,316,291,-0.0991053655743599
15,307,278,-0.0727853998541832
16,286,268,-0.05734768137335777
17,239,316,-0.08411391824483871
18,294,306,-0.08493214845657349
19,289,294,-0.0634557381272316
20,271,291,-0.04776957258582115
