id,x_pixel,y_pixel,z_normalized,z_depth
0,172,264,2.293509169248864e-07,3417
1,210,228,-0.010998264886438847,0
2,259,223,-0.031572695821523666,5404
3,294,245,-0.04464029520750046,3292
4,312,269,-0.05739074572920799,5188
5,259,235,-0.10415224730968475,3268
6,325,243,-0.12428224086761475,0
7,346,250,-0.12909072637557983,3296
8,358,260,-0.13363508880138397,0
9,251,267,-0.10331651568412781,3220
10,329,259,-0.12693966925144196,3274
11,366,251,-0.12876978516578674,0
12,388,248,-0.13359814882278442,5692
13,244,294,-0.09357038140296936,3283
14,316,291,-0.0991053655743599,5077
15,307,278,-0.0727853998541832,5303
16,286,268,-0.05734768137335777,0
17,239,316,-0.08411391824483871,4934
18,294,306,-0.08493214845657349,5006
19,289,294,-0.0634557381272316,0
20,271,291,-0.04776957258582115,3334
