id,x_pixel,y_pixel,z
0,486,202,1.1818719514167242e-07
1,454,163,0.01833624579012394
2,407,159,0.018476881086826324
3,371,181,0.014978175051510334
4,356,209,0.009242569096386433
5,385,157,-0.0219782292842865
6,336,185,-0.02759070135653019
7,327,209,-0.028629915788769722
8,327,226,-0.030987204983830452
9,386,187,-0.039065223187208176
10,325,200,-0.046294089406728745
11,289,206,-0.05161593481898308
12,264,211,-0.060007840394973755
13,392,220,-0.05021054297685623
14,336,234,-0.05060203745961189
15,351,232,-0.03828445076942444
16,368,227,-0.03218681737780571
17,405,249,-0.05970151722431183
18,369,258,-0.05919598788022995
19,375,254,-0.0464584045112133
20,385,247,-0.038082946091890335
