id,x_pixel,y_pixel,z_normalized,z_depth
0,203,224,1.2416320771535538e-07,2964
1,250,189,-0.032480914145708084,5075
2,293,194,-0.055902764201164246,0
3,323,215,-0.05519166216254234,0
4,344,236,-0.05013329163193703,2652
5,298,221,-0.17448745667934418,2735
6,361,225,-0.19996300339698792,6176
7,402,225,-0.20862944424152374,6082
8,432,226,-0.21655307710170746,6222
9,293,245,-0.142045259475708,2689
10,361,248,-0.17332413792610168,2654
11,404,242,-0.17890118062496185,0
12,436,237,-0.1891852766275406,6356
13,294,264,-0.09433819353580475,2906
14,344,254,-0.0737697184085846,2652
15,352,236,-0.03465908765792847,2650
16,355,226,-0.020905356854200363,0
17,296,275,-0.049538590013980865,2945
18,328,259,-0.015211004763841629,2677
19,328,243,0.017773166298866272,2650
20,326,232,0.0331527516245842,2738
