id,x_pixel,y_pixel,z
0,167,244,3.405051813842874e-07
1,200,209,-0.014473984017968178
2,247,210,-0.039893995970487595
3,279,233,-0.055092953145504
4,297,259,-0.07063024491071701
5,246,204,-0.11915028840303421
6,309,211,-0.15080204606056213
7,344,217,-0.16929864883422852
8,373,221,-0.18342256546020508
9,238,234,-0.1162203922867775
10,312,225,-0.14071349799633026
11,343,217,-0.1422736793756485
12,364,211,-0.1490342617034912
13,231,264,-0.10479824990034103
14,300,267,-0.10372211784124374
15,287,261,-0.07009827345609665
16,267,255,-0.05324094742536545
17,227,289,-0.09487451612949371
18,282,283,-0.090422622859478
19,273,274,-0.0645987018942833
20,255,272,-0.048082899302244186
