id,x_pixel,y_pixel,z_normalized,z_depth
0,202,227,4.837281153413642e-07,2925
1,236,181,-0.04070253297686577,5021
2,281,181,-0.0633140280842781,0
3,312,202,-0.06084589287638664,6083
4,331,225,-0.053080011159181595,2636
5,286,210,-0.17300142347812653,2730
6,348,216,-0.20787954330444336,0
7,388,219,-0.2281750589609146,6096
8,421,222,-0.24412092566490173,6053
9,285,235,-0.1390894651412964,2684
10,351,239,-0.18327292799949646,2634
11,396,234,-0.2025754600763321,0
12,430,229,-0.22040843963623047,6110
13,289,253,-0.09116555750370026,2916
14,338,240,-0.08395446836948395,2625
15,336,219,-0.04947273060679436,0
16,331,206,-0.03412698209285736,5956
17,293,262,-0.04688474163413048,2933
18,320,243,-0.023526746779680252,2640
19,312,226,0.005388361401855946,2647
20,303,217,0.021289484575390816,2723
