id,x_pixel,y_pixel,z
0,202,227,4.837281153413642e-07
1,236,181,-0.04070253297686577
2,281,181,-0.0633140280842781
3,312,202,-0.06084589287638664
4,331,225,-0.053080011159181595
5,286,210,-0.17300142347812653
6,348,216,-0.20787954330444336
7,388,219,-0.2281750589609146
8,421,222,-0.24412092566490173
9,285,235,-0.1390894651412964
10,351,239,-0.18327292799949646
11,396,234,-0.2025754600763321
12,430,229,-0.22040843963623047
13,289,253,-0.09116555750370026
14,338,240,-0.08395446836948395
15,336,219,-0.04947273060679436
16,331,206,-0.03412698209285736
17,293,262,-0.04688474163413048
18,320,243,-0.023526746779680252
19,312,226,0.005388361401855946
20,303,217,0.021289484575390816
