id,x_pixel,y_pixel,z
0,410,238,7.65277775371942e-07
1,439,206,-0.02812688611447811
2,443,161,-0.05347977578639984
3,431,121,-0.06889987736940384
4,420,94,-0.08265197277069092
5,414,179,-0.10214933753013611
6,411,113,-0.1290813386440277
7,410,81,-0.13024970889091492
8,410,59,-0.1264919489622116
9,382,189,-0.09380197525024414
10,377,117,-0.12097615003585815
11,383,83,-0.11381062865257263
12,391,63,-0.10515008121728897
13,357,194,-0.08248161524534225
14,354,126,-0.10047173500061035
15,366,97,-0.0931490957736969
16,378,82,-0.08637899905443192
17,341,194,-0.07169727981090546
18,345,140,-0.08339866995811462
19,356,119,-0.08037588745355606
20,366,106,-0.07609963417053223
