id,x_pixel,y_pixel,z
0,404,223,8.268661986221559e-07
1,431,191,-0.029230963438749313
2,436,147,-0.05728629603981972
3,426,109,-0.07329127192497253
4,413,83,-0.08896046131849289
5,408,163,-0.12292420119047165
6,404,99,-0.15158122777938843
7,404,67,-0.15063981711864471
8,405,45,-0.1438678652048111
9,376,174,-0.11266572028398514
10,371,102,-0.14060381054878235
11,378,70,-0.12829600274562836
12,387,52,-0.1146310344338417
13,351,178,-0.09788212925195694
14,348,114,-0.11299388110637665
15,360,85,-0.09836097806692123
16,372,69,-0.08619996160268784
17,338,179,-0.08371302485466003
18,339,129,-0.09145849198102951
19,350,108,-0.08291152864694595
20,359,95,-0.07417761534452438
