id,x_pixel,y_pixel,z
0,438,226,3.185273271810729e-07
1,445,206,-0.04308191314339638
2,441,172,-0.07643871754407883
3,430,135,-0.10154431313276291
4,423,110,-0.12533776462078094
5,404,186,-0.09150135517120361
6,396,125,-0.12814907729625702
7,406,93,-0.14270076155662537
8,415,73,-0.14802543818950653
9,382,196,-0.08174706995487213
10,378,128,-0.11298535764217377
11,394,96,-0.11410697549581528
12,406,77,-0.11097359657287598
13,370,201,-0.07311975210905075
14,369,134,-0.09970473498106003
15,382,108,-0.09759345650672913
16,391,93,-0.09089947491884232
17,366,200,-0.06742487102746964
18,365,150,-0.08339016139507294
19,373,130,-0.08159448206424713
20,378,117,-0.07634840160608292
