id,x_pixel,y_pixel,z
0,294,364,-3.904347920524742e-07
1,255,328,-0.02133893221616745
2,251,276,-0.03225367143750191
3,272,232,-0.03155054897069931
4,289,207,-0.028690965846180916
5,291,275,-0.09312335401773453
6,303,205,-0.09753259271383286
7,300,175,-0.07716790586709976
8,294,160,-0.0595378652215004
9,327,281,-0.07820422202348709
10,334,202,-0.08835334330797195
11,321,171,-0.06883931159973145
12,307,155,-0.05148965120315552
13,351,285,-0.057863373309373856
14,355,215,-0.06558475643396378
15,342,184,-0.05431180074810982
16,327,166,-0.044215116649866104
17,363,289,-0.0363764613866806
18,350,240,-0.039524588733911514
19,334,220,-0.03401867672801018
20,320,209,-0.027733800932765007
