id,x_pixel,y_pixel,z
0,324,305,-2.108995289518134e-07
1,293,274,-0.04641512781381607
2,280,238,-0.09454531967639923
3,281,206,-0.12212207913398743
4,291,173,-0.15071265399456024
5,305,243,-0.21493308246135712
6,301,179,-0.2553097605705261
7,294,142,-0.25366508960723877
8,293,114,-0.24871912598609924
9,338,246,-0.19386382400989532
10,337,169,-0.25059160590171814
11,326,127,-0.2544953525066376
12,315,100,-0.25624221563339233
13,364,244,-0.15945906937122345
14,354,174,-0.20077601075172424
15,339,134,-0.19873517751693726
16,326,109,-0.19563619792461395
17,380,241,-0.12197589874267578
18,367,186,-0.1361008882522583
19,355,159,-0.1265910118818283
20,343,142,-0.12157803773880005
