id,x_pixel,y_pixel,z
0,387,318,4.262804509380658e-08
1,427,299,-0.04492294788360596
2,453,265,-0.09527988731861115
3,447,224,-0.131205752491951
4,429,197,-0.16906346380710602
5,462,292,-0.17533275485038757
6,451,216,-0.2203396111726761
7,435,178,-0.23098133504390717
8,422,155,-0.23677286505699158
9,428,298,-0.17266859114170074
10,425,220,-0.22323325276374817
11,413,175,-0.2305457442998886
12,403,149,-0.23810845613479614
13,394,292,-0.16507640480995178
14,389,218,-0.20569062232971191
15,385,176,-0.2090306580066681
16,381,152,-0.21266311407089233
17,366,277,-0.15753917396068573
18,367,222,-0.1903449147939682
19,371,192,-0.19872722029685974
20,374,173,-0.20620335638523102
