id,x_pixel,y_pixel,z_normalized,z_depth
0,322,297,-3.890057485023135e-07,4532
1,293,260,-0.010984433814883232,3108
2,287,216,-0.021932315081357956,2854
3,301,179,-0.02304248698055744,2884
4,314,155,-0.025362025946378708,0
5,313,207,-0.08887957036495209,2960
6,312,144,-0.09950233995914459,0
7,306,113,-0.09025388956069946,5272
8,301,94,-0.08039259165525436,5461
9,345,212,-0.0788780152797699,0
10,342,136,-0.09457629919052124,5326
11,329,103,-0.08479616791009903,5440
12,315,84,-0.07528100162744522,5578
13,368,216,-0.061533451080322266,4684
14,359,148,-0.07386641949415207,5055
15,344,115,-0.06942814588546753,5257
16,331,95,-0.06408701837062836,5425
17,380,221,-0.04113341495394707,4653
18,364,172,-0.03873787820339203,4896
19,348,153,-0.027283648028969765,5168
20,336,145,-0.018918681889772415,5344
