id,x_pixel,y_pixel,z
0,266,244,-1.0287967455724356e-07
1,239,220,-0.055498648434877396
2,221,199,-0.10259242355823517
3,222,179,-0.1388169527053833
4,236,157,-0.17627796530723572
5,204,263,-0.16030560433864594
6,209,216,-0.2201416939496994
7,221,183,-0.2497788667678833
8,232,159,-0.26859065890312195
9,230,279,-0.15651004016399384
10,240,224,-0.2267961949110031
11,245,184,-0.25280481576919556
12,250,156,-0.27130916714668274
13,261,279,-0.15142308175563812
14,265,227,-0.21615783870220184
15,269,190,-0.23479382693767548
16,270,166,-0.243588387966156
17,290,274,-0.14793582260608673
18,290,232,-0.19483442604541779
19,290,203,-0.2106257975101471
20,290,182,-0.22251847386360168
