id,x_pixel,y_pixel,z
0,297,282,-1.7227621640358848e-07
1,337,268,0.016060909256339073
2,357,231,0.02174588479101658
3,362,195,0.027474461123347282
4,350,168,0.028852524235844612
5,365,203,-0.017817195504903793
6,362,146,-0.02035309188067913
7,354,118,-0.017426233738660812
8,347,98,-0.014279275201261044
9,348,196,-0.025418613106012344
10,345,133,-0.031248372048139572
11,338,101,-0.029520779848098755
12,328,79,-0.027387499809265137
13,325,193,-0.027706196531653404
14,322,136,-0.03211113438010216
15,319,107,-0.027537323534488678
16,316,86,-0.02306794375181198
17,295,193,-0.026813777163624763
18,298,150,-0.028576713055372238
19,298,129,-0.02049107290804386
20,298,114,-0.012531667947769165
