id,x_pixel,y_pixel,z
0,322,297,-3.890057485023135e-07
1,293,260,-0.010984433814883232
2,287,216,-0.021932315081357956
3,301,179,-0.02304248698055744
4,314,155,-0.025362025946378708
5,313,207,-0.08887957036495209
6,312,144,-0.09950233995914459
7,306,113,-0.09025388956069946
8,301,94,-0.08039259165525436
9,345,212,-0.0788780152797699
10,342,136,-0.09457629919052124
11,329,103,-0.08479616791009903
12,315,84,-0.07528100162744522
13,368,216,-0.061533451080322266
14,359,148,-0.07386641949415207
15,344,115,-0.06942814588546753
16,331,95,-0.06408701837062836
17,380,221,-0.04113341495394707
18,364,172,-0.03873787820339203
19,348,153,-0.027283648028969765
20,336,145,-0.018918681889772415
