id,x_pixel,y_pixel,z
0,340,168,-1.8107343180417956e-07
1,376,182,-0.04715815559029579
2,415,196,-0.09288237243890762
3,414,204,-0.13798657059669495
4,388,201,-0.18380780518054962
5,414,96,-0.09114247560501099
6,438,96,-0.14686839282512665
7,463,96,-0.18412190675735474
8,489,94,-0.2081846445798874
9,369,79,-0.09806044399738312
10,381,140,-0.1618604063987732
11,382,186,-0.18707816302776337
12,387,204,-0.1984615921974182
13,326,92,-0.10790462046861649
14,331,153,-0.17227190732955933
15,342,189,-0.17939171195030212
16,354,199,-0.1736690253019333
17,293,116,-0.12056884169578552
18,284,124,-0.16882692277431488
19,272,115,-0.1737966388463974
20,261,100,-0.16925854980945587
