id,x_pixel,y_pixel,z
0,379,207,2.690578355668549e-07
1,342,222,-0.02172696404159069
2,325,246,-0.04495760798454285
3,324,277,-0.05900678411126137
4,336,299,-0.07328502088785172
5,344,209,-0.08433090895414352
6,332,208,-0.11784765124320984
7,325,208,-0.13954046368598938
8,317,208,-0.15516552329063416
9,368,209,-0.08656662702560425
10,352,252,-0.13125677406787872
11,349,264,-0.15568983554840088
12,347,266,-0.17087753117084503
13,389,218,-0.08433614671230316
14,378,269,-0.12578856945037842
15,369,295,-0.14240503311157227
16,358,314,-0.15159183740615845
17,402,228,-0.07984379678964615
18,406,244,-0.10789500176906586
19,416,239,-0.11139088124036789
20,424,235,-0.11438105255365372
