id,x_pixel,y_pixel,z_normalized,z_depth
0,383,195,3.742323144706461e-07,0
1,341,212,-0.02665852941572666,3681
2,320,238,-0.05519065633416176,3002
3,320,272,-0.07443547248840332,2978
4,334,295,-0.09355628490447998,0
5,341,204,-0.09691013395786285,3792
6,325,204,-0.13516026735305786,3807
7,318,204,-0.15885524451732635,0
8,311,206,-0.1769859939813614,0
9,367,202,-0.09937437623739243,4155
10,352,248,-0.15597771108150482,3146
11,350,261,-0.18756289780139923,0
12,346,266,-0.20734624564647675,0
13,389,211,-0.09691640734672546,5602
14,376,266,-0.14769838750362396,4998
15,368,292,-0.16920162737369537,4844
16,356,312,-0.18096370995044708,4746
17,403,222,-0.09205680340528488,0
18,404,236,-0.12794984877109528,0
19,414,231,-0.13722528517246246,0
20,420,226,-0.14412856101989746,8636
