id,x_pixel,y_pixel,z
0,364,156,-4.974008902536298e-07
1,338,160,-0.0540543831884861
2,322,162,-0.09483316540718079
3,331,182,-0.12957826256752014
4,351,200,-0.16103336215019226
5,345,106,-0.09229254722595215
6,339,142,-0.13717927038669586
7,331,156,-0.15933015942573547
8,324,153,-0.17001749575138092
9,374,106,-0.08385729789733887
10,373,164,-0.12515048682689667
11,359,194,-0.1338726431131363
12,350,202,-0.1368453949689865
13,395,121,-0.07832380384206772
14,398,172,-0.1266077756881714
15,379,202,-0.12556041777133942
16,366,210,-0.1150711327791214
17,411,139,-0.0762423425912857
18,429,157,-0.10955153405666351
19,439,162,-0.10938277840614319
20,449,161,-0.10234561562538147
