id,x_pixel,y_pixel,z
0,251,228,2.866999295747519e-07
1,281,242,-0.037122923880815506
2,305,253,-0.07176116108894348
3,310,274,-0.09504611045122147
4,298,294,-0.11553315073251724
5,294,177,-0.13725833594799042
6,312,178,-0.18604429066181183
7,315,187,-0.20755447447299957
8,309,200,-0.2222587913274765
9,264,162,-0.13583360612392426
10,276,238,-0.19046756625175476
11,291,283,-0.2099306583404541
12,295,311,-0.22620512545108795
13,233,168,-0.13061100244522095
14,249,247,-0.1834106594324112
15,267,277,-0.19743764400482178
16,278,287,-0.20402801036834717
17,206,181,-0.12506912648677826
18,200,212,-0.16535697877407074
19,188,227,-0.18214166164398193
20,175,235,-0.19592136144638062
