id,x_pixel,y_pixel,z_normalized,z_depth
0,350,203,6.865462864880101e-08,2606
1,377,214,-0.049059074372053146,0
2,404,221,-0.09896808862686157,4522
3,408,239,-0.13910014927387238,4499
4,390,241,-0.17789386212825775,4510
5,402,158,-0.1663742959499359,4635
6,431,152,-0.24250514805316925,4633
7,447,155,-0.28112590312957764,4717
8,462,161,-0.29901912808418274,4726
9,373,143,-0.16517990827560425,5051
10,383,175,-0.23677968978881836,2032
11,384,213,-0.2538987994194031,4368
12,387,239,-0.2626107931137085,4497
13,337,145,-0.16287872195243835,5404
14,339,188,-0.22937141358852386,2409
15,347,219,-0.2382710874080658,2626
16,359,230,-0.23584593832492828,2686
17,302,156,-0.16224820911884308,4227
18,303,175,-0.21349726617336273,2570
19,308,191,-0.2264866679906845,2401
20,316,198,-0.2310863435268402,2302
