id,x_pixel,y_pixel,z
0,383,195,3.742323144706461e-07
1,341,212,-0.02665852941572666
2,320,238,-0.05519065633416176
3,320,272,-0.07443547248840332
4,334,295,-0.09355628490447998
5,341,204,-0.09691013395786285
6,325,204,-0.13516026735305786
7,318,204,-0.15885524451732635
8,311,206,-0.1769859939813614
9,367,202,-0.09937437623739243
10,352,248,-0.15597771108150482
11,350,261,-0.18756289780139923
12,346,266,-0.20734624564647675
13,389,211,-0.09691640734672546
14,376,266,-0.14769838750362396
15,368,292,-0.16920162737369537
16,356,312,-0.18096370995044708
17,403,222,-0.09205680340528488
18,404,236,-0.12794984877109528
19,414,231,-0.13722528517246246
20,420,226,-0.14412856101989746
