id,x_pixel,y_pixel,z
0,548,241,2.3061433296334144e-07
1,522,190,0.002166242804378271
2,478,167,-0.00032626555184833705
3,439,179,0.0011600449215620756
4,425,206,0.002739864168688655
5,443,190,-0.046703439205884933
6,398,200,-0.05327282473444939
7,406,206,-0.045911818742752075
8,425,208,-0.03775522857904434
9,443,226,-0.04721464589238167
10,377,242,-0.06371258199214935
11,337,250,-0.0686686560511589
12,312,257,-0.07284688204526901
13,449,257,-0.04197431728243828
14,387,271,-0.05220816656947136
15,350,275,-0.05615001171827316
16,329,279,-0.05817282199859619
17,460,282,-0.03365258872509003
18,407,285,-0.03438299894332886
19,376,289,-0.03246165066957474
20,354,291,-0.03183458745479584
