id,x_pixel,y_pixel,z_normalized,z_depth
0,160,235,1.6905335087358253e-07,2849
1,203,194,-0.02332579530775547,0
2,255,172,-0.044768936932086945,5918
3,304,172,-0.054571732878685,6047
4,341,181,-0.05835236236453056,6056
5,264,213,-0.11347045749425888,2562
6,338,213,-0.12248976528644562,0
7,348,199,-0.09618828445672989,0
8,343,188,-0.07375288754701614,5995
9,263,250,-0.10342776775360107,2624
10,349,253,-0.14019562304019928,2678
11,398,253,-0.1392698585987091,0
12,434,254,-0.13416527211666107,0
13,261,278,-0.08469218015670776,2736
14,340,276,-0.11132742464542389,2739
15,384,275,-0.10990962386131287,0
16,416,273,-0.10425686091184616,0
17,256,297,-0.06331217288970947,6055
18,317,297,-0.0770302265882492,2788
19,352,298,-0.0738474503159523,6259
20,379,299,-0.06848740577697754,0
