id,x_pixel,y_pixel,z_normalized,z_depth
0,150,236,2.817092479290295e-07,3363
1,187,196,-0.011183062568306923,0
2,238,183,-0.03306616097688675,5349
3,280,197,-0.04672253876924515,5313
4,302,220,-0.05598035827279091,0
5,232,184,-0.12350478023290634,0
6,300,196,-0.14760252833366394,5285
7,290,203,-0.1282196342945099,0
8,272,208,-0.10891232639551163,3117
9,225,223,-0.1276957392692566,2988
10,308,226,-0.17217043042182922,0
11,350,232,-0.17589762806892395,5276
12,385,236,-0.17508862912654877,5114
13,220,260,-0.12338802218437195,2993
14,294,259,-0.15978355705738068,2938
15,332,261,-0.1655404269695282,0
16,363,260,-0.16583307087421417,4990
17,216,289,-0.11490996927022934,3058
18,270,288,-0.13717538118362427,0
19,299,284,-0.1394718438386917,0
20,323,282,-0.1394006758928299,4937
