id,x_pixel,y_pixel,z
0,160,235,1.6905335087358253e-07
1,203,194,-0.02332579530775547
2,255,172,-0.044768936932086945
3,304,172,-0.054571732878685
4,341,181,-0.05835236236453056
5,264,213,-0.11347045749425888
6,338,213,-0.12248976528644562
7,348,199,-0.09618828445672989
8,343,188,-0.07375288754701614
9,263,250,-0.10342776775360107
10,349,253,-0.14019562304019928
11,398,253,-0.1392698585987091
12,434,254,-0.13416527211666107
13,261,278,-0.08469218015670776
14,340,276,-0.11132742464542389
15,384,275,-0.10990962386131287
16,416,273,-0.10425686091184616
17,256,297,-0.06331217288970947
18,317,297,-0.0770302265882492
19,352,298,-0.0738474503159523
20,379,299,-0.06848740577697754
