id,x_pixel,y_pixel,z
0,458,294,3.439050146880618e-07
1,429,259,-0.006935268174856901
2,382,250,-0.007385940290987492
3,343,251,-0.004816330969333649
4,315,252,0.0003821354766841978
5,368,285,-0.031223062425851822
6,317,276,-0.04281922057271004
7,310,267,-0.04186107590794563
8,315,262,-0.03759639710187912
9,370,314,-0.0284681748598814
10,309,319,-0.04502137377858162
11,274,320,-0.048852115869522095
12,251,321,-0.04909481108188629
13,376,334,-0.02458970434963703
14,322,340,-0.03672027215361595
15,291,339,-0.04205140471458435
16,269,338,-0.043277062475681305
17,386,346,-0.019719107076525688
18,346,353,-0.025875629857182503
19,322,356,-0.028573213145136833
20,303,357,-0.0288479533046484
