id,x_pixel,y_pixel,z_normalized,z_depth
0,288,175,7.996892747996753e-08,6434
1,333,194,-0.038285572081804276,6314
2,358,234,-0.06889406591653824,6107
3,359,275,-0.08725012093782425,0
4,363,308,-0.10694655030965805,0
5,343,230,-0.1418132185935974,0
6,368,298,-0.18526293337345123,5772
7,381,344,-0.20070919394493103,5550
8,389,379,-0.20871680974960327,5414
9,302,236,-0.13493378460407257,3048
10,319,317,-0.18022754788398743,2641
11,331,368,-0.19508473575115204,0
12,340,405,-0.2052624672651291,5386
13,269,245,-0.12369152158498764,3004
14,284,321,-0.16370826959609985,2650
15,295,372,-0.18344971537590027,2586
16,306,408,-0.194577157497406,5722
17,247,254,-0.11104045808315277,3112
18,256,314,-0.14029183983802795,2773
19,265,349,-0.15245747566223145,2731
20,274,375,-0.16003137826919556,2695
