id,x_pixel,y_pixel,z_normalized,z_depth
0,313,222,6.558774430232006e-07,0
1,358,239,-0.03150579333305359,6148
2,388,268,-0.07619340717792511,6034
3,397,299,-0.10905954241752625,0
4,404,326,-0.14402472972869873,0
5,392,255,-0.18110020458698273,5984
6,414,300,-0.26001405715942383,5785
7,426,341,-0.3044280409812927,5681
8,435,373,-0.33140093088150024,5606
9,359,257,-0.18727830052375793,0
10,376,309,-0.2634749114513397,0
11,386,356,-0.2969021499156952,5625
12,393,393,-0.3221285045146942,5394
13,324,266,-0.18797697126865387,3034
14,338,315,-0.25486046075820923,2807
15,347,360,-0.2885776162147522,2705
16,353,394,-0.3105833828449249,5433
17,294,277,-0.18567965924739838,3077
18,300,317,-0.24120770394802094,2875
19,308,348,-0.2709498107433319,2794
20,314,375,-0.29242822527885437,5720
