id,x_pixel,y_pixel,z_normalized,z_depth
0,308,189,6.531795406772289e-07,6574
1,343,221,-0.03493334352970123,3005
2,371,259,-0.06947162747383118,0
3,385,291,-0.0979122743010521,5838
4,404,315,-0.125914067029953,5695
5,364,198,-0.12025405466556549,6398
6,383,219,-0.1745893508195877,6223
7,394,254,-0.2081591635942459,6000
8,404,286,-0.23044973611831665,5841
9,331,188,-0.1277327835559845,6452
10,338,226,-0.18643693625926971,2897
11,349,271,-0.21057870984077454,2677
12,358,307,-0.22897940874099731,5861
13,299,191,-0.1341261863708496,0
14,302,235,-0.1898718625307083,2797
15,311,280,-0.20515090227127075,2635
16,320,311,-0.2125915139913559,6103
17,271,202,-0.14180324971675873,3399
18,270,245,-0.18275952339172363,2905
19,275,278,-0.19457876682281494,2771
20,283,304,-0.2029341757297516,2700
