id,x_pixel,y_pixel,z_normalized,z_depth
0,291,180,7.08805245608346e-08,6708
1,337,197,-0.04327695071697235,6463
2,363,234,-0.08075737953186035,6226
3,366,272,-0.10566718876361847,0
4,371,304,-0.13190904259681702,0
5,349,229,-0.15784940123558044,6233
6,370,289,-0.2126510888338089,0
7,381,332,-0.23761211335659027,5724
8,389,367,-0.25260430574417114,5568
9,308,234,-0.15247471630573273,3070
10,322,308,-0.20644041895866394,2721
11,333,359,-0.2284831404685974,0
12,343,397,-0.24584822356700897,5502
13,274,242,-0.1432022899389267,3086
14,284,313,-0.19162781536579132,2735
15,293,362,-0.21835888922214508,2679
16,304,397,-0.2356778085231781,5740
17,248,250,-0.1327354609966278,3256
18,253,304,-0.1700233668088913,2990
19,263,336,-0.18885508179664612,2820
20,276,358,-0.20249345898628235,2770
