id,x_pixel,y_pixel,z_normalized,z_depth
0,235,319,-3.9608792690160044e-07,3308
1,278,274,-0.010699348524212837,3173
2,320,247,-0.03236684203147888,0
3,357,216,-0.05178447440266609,6264
4,376,184,-0.0685032308101654,6652
5,361,288,-0.06356427073478699,3091
6,420,295,-0.0691237673163414,5828
7,397,289,-0.05509562790393829,5942
8,369,284,-0.04313439875841141,3112
9,357,330,-0.06172874942421913,3280
10,414,329,-0.05808074772357941,5610
11,395,322,-0.04098756983876228,5633
12,373,319,-0.03292512893676758,0
13,348,365,-0.05579886958003044,5494
14,401,357,-0.04538537189364433,5475
15,382,350,-0.028473682701587677,5574
16,361,347,-0.0233297236263752,0
17,338,393,-0.05039956793189049,5387
18,383,383,-0.0432695597410202,5349
19,371,374,-0.0294722281396389,5428
20,353,370,-0.020676473155617714,5462
