id,x_pixel,y_pixel,z_normalized,z_depth
0,233,312,-3.448161862706911e-07,3320
1,276,265,-0.01070543471723795,3224
2,315,235,-0.03315019607543945,0
3,350,200,-0.05298031494021416,6245
4,367,166,-0.07037904858589172,6841
5,362,280,-0.06757457554340363,3125
6,419,286,-0.06907384097576141,5881
7,400,280,-0.04942431300878525,5930
8,374,276,-0.03377328813076019,0
9,360,322,-0.06375661492347717,0
10,414,319,-0.056839004158973694,5653
11,396,311,-0.0341988168656826,5666
12,375,308,-0.021731659770011902,0
13,351,357,-0.0550532266497612,5577
14,401,346,-0.04174444451928139,5533
15,384,338,-0.019048873335123062,5615
16,364,335,-0.009290286339819431,0
17,340,384,-0.046850305050611496,5406
18,384,371,-0.03716311603784561,5426
19,373,362,-0.019339527934789658,5530
20,356,358,-0.006567648146301508,5586
