id,x_pixel,y_pixel,z_normalized,z_depth
0,229,399,3.578761891276372e-07,0
1,203,353,-0.03959164395928383,0
2,188,303,-0.07903498411178589,0
3,166,262,-0.11084525287151337,0
4,142,234,-0.14316406846046448,0
5,251,300,-0.12146316468715668,3062
6,274,231,-0.1613403558731079,0
7,288,192,-0.18283884227275848,5946
8,303,162,-0.19696436822414398,6013
9,286,314,-0.110899418592453,3044
10,318,242,-0.14092427492141724,2951
11,334,202,-0.1479276567697525,0
12,349,174,-0.15571823716163635,6061
13,311,331,-0.09673555195331573,3178
14,340,272,-0.11341932415962219,3184
15,321,273,-0.09781572222709656,3082
16,303,283,-0.08632002025842667,2983
17,326,346,-0.08630335330963135,5392
18,366,315,-0.10716646164655685,0
19,391,301,-0.10746288299560547,3354
20,415,289,-0.10453898459672928,0
